"filename", "language", "HTML", "JSON", "UnityShader", "C#", "comment", "blank", "total"
"c:\x-folder\MyGames\RobbyAmogus\RobbyAmogus\Assets\0_Scripts\Audio\AmbientSound.cs", "C#", 0, 0, 0, 25, 0, 2, 27
"c:\x-folder\MyGames\RobbyAmogus\RobbyAmogus\Assets\0_Scripts\Audio\AudioRandomize.cs", "C#", 0, 0, 0, 36, 1, 2, 39
"c:\x-folder\MyGames\RobbyAmogus\RobbyAmogus\Assets\0_Scripts\Audio\ClickSound.cs", "C#", 0, 0, 0, 10, 0, 2, 12
"c:\x-folder\MyGames\RobbyAmogus\RobbyAmogus\Assets\0_Scripts\Audio\MultiStepSound.cs", "C#", 0, 0, 0, 34, 0, 2, 36
"c:\x-folder\MyGames\RobbyAmogus\RobbyAmogus\Assets\0_Scripts\Audio\ShotSoundManager.cs", "C#", 0, 0, 0, 89, 1, 3, 93
"c:\x-folder\MyGames\RobbyAmogus\RobbyAmogus\Assets\0_Scripts\Audio\UISoundHandler.cs", "C#", 0, 0, 0, 34, 0, 1, 35
"c:\x-folder\MyGames\RobbyAmogus\RobbyAmogus\Assets\0_Scripts\Characters\Amogus.cs", "C#", 0, 0, 0, 68, 0, 5, 73
"c:\x-folder\MyGames\RobbyAmogus\RobbyAmogus\Assets\0_Scripts\Characters\ImposterSkinned.cs", "C#", 0, 0, 0, 23, 0, 2, 25
"c:\x-folder\MyGames\RobbyAmogus\RobbyAmogus\Assets\0_Scripts\Characters\MainGuy.cs", "C#", 0, 0, 0, 31, 1, 3, 35
"c:\x-folder\MyGames\RobbyAmogus\RobbyAmogus\Assets\0_Scripts\Characters\Team.cs", "C#", 0, 0, 0, 244, 3, 16, 263
"c:\x-folder\MyGames\RobbyAmogus\RobbyAmogus\Assets\0_Scripts\Characters\TeamMember.cs", "C#", 0, 0, 0, 10, 0, 2, 12
"c:\x-folder\MyGames\RobbyAmogus\RobbyAmogus\Assets\0_Scripts\Controllers\AttackController.cs", "C#", 0, 0, 0, 276, 3, 55, 334
"c:\x-folder\MyGames\RobbyAmogus\RobbyAmogus\Assets\0_Scripts\Controllers\AttackFXController.cs", "C#", 0, 0, 0, 162, 0, 31, 193
"c:\x-folder\MyGames\RobbyAmogus\RobbyAmogus\Assets\0_Scripts\Controllers\BattleCameraController.cs", "C#", 0, 0, 0, 33, 0, 1, 34
"c:\x-folder\MyGames\RobbyAmogus\RobbyAmogus\Assets\0_Scripts\Controllers\CoinsController.cs", "C#", 0, 0, 0, 43, 0, 12, 55
"c:\x-folder\MyGames\RobbyAmogus\RobbyAmogus\Assets\0_Scripts\Controllers\MenuCameraController.cs", "C#", 0, 0, 0, 38, 9, 1, 48
"c:\x-folder\MyGames\RobbyAmogus\RobbyAmogus\Assets\0_Scripts\Controllers\MovementController.cs", "C#", 0, 0, 0, 44, 0, 4, 48
"c:\x-folder\MyGames\RobbyAmogus\RobbyAmogus\Assets\0_Scripts\Controllers\PController.cs", "C#", 0, 0, 0, 8, 3, 2, 13
"c:\x-folder\MyGames\RobbyAmogus\RobbyAmogus\Assets\0_Scripts\Controllers\TeamHealthController.cs", "C#", 0, 0, 0, 125, 0, 16, 141
"c:\x-folder\MyGames\RobbyAmogus\RobbyAmogus\Assets\0_Scripts\Controllers\TouchMoveController.cs", "C#", 0, 0, 0, 9, 15, 2, 26
"c:\x-folder\MyGames\RobbyAmogus\RobbyAmogus\Assets\0_Scripts\Enemies\Attackable.cs", "C#", 0, 0, 0, 75, 0, 11, 86
"c:\x-folder\MyGames\RobbyAmogus\RobbyAmogus\Assets\0_Scripts\Enemies\EnemyArmoredGiant.cs", "C#", 0, 0, 0, 13, 0, 2, 15
"c:\x-folder\MyGames\RobbyAmogus\RobbyAmogus\Assets\0_Scripts\Enemies\EnemyBase.cs", "C#", 0, 0, 0, 14, 1, 3, 18
"c:\x-folder\MyGames\RobbyAmogus\RobbyAmogus\Assets\0_Scripts\Enemies\EnemyGiant.cs", "C#", 0, 0, 0, 54, 0, 13, 67
"c:\x-folder\MyGames\RobbyAmogus\RobbyAmogus\Assets\0_Scripts\Enemies\EnemySimple.cs", "C#", 0, 0, 0, 67, 0, 15, 82
"c:\x-folder\MyGames\RobbyAmogus\RobbyAmogus\Assets\0_Scripts\Integration\AdsManager.cs", "C#", 0, 0, 0, 15, 0, 2, 17
"c:\x-folder\MyGames\RobbyAmogus\RobbyAmogus\Assets\0_Scripts\Integration\HtmlBridge.cs", "C#", 0, 0, 0, 156, 3, 6, 165
"c:\x-folder\MyGames\RobbyAmogus\RobbyAmogus\Assets\0_Scripts\Integration\IPlatformBridge.cs", "C#", 0, 0, 0, 19, 1, 5, 25
"c:\x-folder\MyGames\RobbyAmogus\RobbyAmogus\Assets\0_Scripts\Integration\StartupViewModel.cs", "C#", 0, 0, 0, 31, 0, 3, 34
"c:\x-folder\MyGames\RobbyAmogus\RobbyAmogus\Assets\0_Scripts\Level\AutoRunTexture.cs", "C#", 0, 0, 0, 10, 0, 2, 12
"c:\x-folder\MyGames\RobbyAmogus\RobbyAmogus\Assets\0_Scripts\Level\Bonus\Cage.cs", "C#", 0, 0, 0, 36, 0, 5, 41
"c:\x-folder\MyGames\RobbyAmogus\RobbyAmogus\Assets\0_Scripts\Level\Bonus\GemOnRoad.cs", "C#", 0, 0, 0, 11, 0, 2, 13
"c:\x-folder\MyGames\RobbyAmogus\RobbyAmogus\Assets\0_Scripts\Level\DropPlatform.cs", "C#", 0, 0, 0, 60, 0, 2, 62
"c:\x-folder\MyGames\RobbyAmogus\RobbyAmogus\Assets\0_Scripts\Level\Managers\ImposterManager.cs", "C#", 0, 0, 0, 145, 1, 2, 148
"c:\x-folder\MyGames\RobbyAmogus\RobbyAmogus\Assets\0_Scripts\Level\Managers\LevelManager.cs", "C#", 0, 0, 0, 174, 4, 7, 185
"c:\x-folder\MyGames\RobbyAmogus\RobbyAmogus\Assets\0_Scripts\Level\Managers\LevelUIManager.cs", "C#", 0, 0, 0, 65, 5, 14, 84
"c:\x-folder\MyGames\RobbyAmogus\RobbyAmogus\Assets\0_Scripts\Level\Road\DebugLevelParams.cs", "C#", 0, 0, 0, 8, 0, 2, 10
"c:\x-folder\MyGames\RobbyAmogus\RobbyAmogus\Assets\0_Scripts\Level\Road\Road.cs", "C#", 0, 0, 0, 201, 8, 27, 236
"c:\x-folder\MyGames\RobbyAmogus\RobbyAmogus\Assets\0_Scripts\Level\Road\RoadDataGenerator.cs", "C#", 0, 0, 0, 405, 6, 2, 413
"c:\x-folder\MyGames\RobbyAmogus\RobbyAmogus\Assets\0_Scripts\Level\Road\RoadDataStorage.cs", "C#", 0, 0, 0, 7, 0, 2, 9
"c:\x-folder\MyGames\RobbyAmogus\RobbyAmogus\Assets\0_Scripts\Level\Road\RoadDecoration.cs", "C#", 0, 0, 0, 6, 0, 2, 8
"c:\x-folder\MyGames\RobbyAmogus\RobbyAmogus\Assets\0_Scripts\Level\Road\RoadDecorationGenerator.cs", "C#", 0, 0, 0, 62, 0, 1, 63
"c:\x-folder\MyGames\RobbyAmogus\RobbyAmogus\Assets\0_Scripts\Level\Road\RoadObjectBase.cs", "C#", 0, 0, 0, 6, 0, 2, 8
"c:\x-folder\MyGames\RobbyAmogus\RobbyAmogus\Assets\0_Scripts\Level\Road\RoadObjectsGenerator.cs", "C#", 0, 0, 0, 194, 25, 11, 230
"c:\x-folder\MyGames\RobbyAmogus\RobbyAmogus\Assets\0_Scripts\Level\Road\RoadObstacle.cs", "C#", 0, 0, 0, 15, 0, 2, 17
"c:\x-folder\MyGames\RobbyAmogus\RobbyAmogus\Assets\0_Scripts\Level\Road\RoadSkin.cs", "C#", 0, 0, 0, 11, 0, 2, 13
"c:\x-folder\MyGames\RobbyAmogus\RobbyAmogus\Assets\0_Scripts\Level\Road\RunningTexture.cs", "C#", 0, 0, 0, 36, 0, 4, 40
"c:\x-folder\MyGames\RobbyAmogus\RobbyAmogus\Assets\0_Scripts\Level\Road\StartGate.cs", "C#", 0, 0, 0, 14, 0, 2, 16
"c:\x-folder\MyGames\RobbyAmogus\RobbyAmogus\Assets\0_Scripts\MenuLevel\CollectAllBlock.cs", "C#", 0, 0, 0, 15, 0, 2, 17
"c:\x-folder\MyGames\RobbyAmogus\RobbyAmogus\Assets\0_Scripts\MenuLevel\Desintegrator.cs", "C#", 0, 0, 0, 47, 1, 3, 51
"c:\x-folder\MyGames\RobbyAmogus\RobbyAmogus\Assets\0_Scripts\MenuLevel\DesintegratorAnimationHelper.cs", "C#", 0, 0, 0, 24, 0, 2, 26
"c:\x-folder\MyGames\RobbyAmogus\RobbyAmogus\Assets\0_Scripts\MenuLevel\DesintegratorScene.cs", "C#", 0, 0, 0, 60, 0, 2, 62
"c:\x-folder\MyGames\RobbyAmogus\RobbyAmogus\Assets\0_Scripts\MenuLevel\GiftBox.cs", "C#", 0, 0, 0, 25, 0, 2, 27
"c:\x-folder\MyGames\RobbyAmogus\RobbyAmogus\Assets\0_Scripts\MenuLevel\GiftController.cs", "C#", 0, 0, 0, 104, 0, 2, 106
"c:\x-folder\MyGames\RobbyAmogus\RobbyAmogus\Assets\0_Scripts\MenuLevel\HatDemo.cs", "C#", 0, 0, 0, 35, 0, 2, 37
